sponsor,tier,year,conference,is_bigtech,canonical_name
petuum inc.,gold,2019,neurips,False,NA
point72 / cubist systematic strategies,gold,2019,neurips,False,NA
preferred networks,gold,2019,neurips,False,NA
prowler.io,gold,2019,neurips,False,NA
pryon,gold,2019,neurips,False,NA
sberbank,gold,2019,neurips,False,NA
scale ai,gold,2019,neurips,False,NA
snap inc.,gold,2019,neurips,False,NA
splunk inc,gold,2019,neurips,False,NA
squarepoint,gold,2019,neurips,False,NA
vinai research,gold,2019,neurips,False,NA
weights & biases,gold,2019,neurips,False,NA
xtx markets,gold,2019,neurips,False,NA
zillow,gold,2019,neurips,False,NA
accenture,silver,2019,neurips,False,NA
alegion,silver,2019,neurips,False,NA
arm inc.,silver,2019,neurips,False,NA
avira,silver,2019,neurips,False,NA
blackberry cylance,silver,2019,neurips,False,NA
booz allen hamilton,silver,2019,neurips,False,NA
capital group,silver,2019,neurips,False,NA
"edgestream partners, l.p.",silver,2019,neurips,False,NA
element ai,silver,2019,neurips,False,NA
expedia group,silver,2019,neurips,False,NA
ghelia inc.,silver,2019,neurips,False,NA
happy elements inc.,silver,2019,neurips,False,NA
johnson & johnson,silver,2019,neurips,False,NA
khosla ventures,silver,2019,neurips,False,NA
"moqi technology (beijing) co., ltd.",silver,2019,neurips,False,NA
ooo sentium,silver,2019,neurips,False,NA
"siemens medical solutions usa, inc.",silver,2019,neurips,False,NA
tencent ai lab,silver,2019,neurips,True,tencent
terraquanta,silver,2019,neurips,False,NA
vectra ai,silver,2019,neurips,False,NA
walmartlabs,silver,2019,neurips,False,NA
grameen research,bronze,2019,neurips,False,NA
lab41,bronze,2019,neurips,False,NA
nextai / next canada,bronze,2019,neurips,False,NA
simon fraser university,bronze,2019,neurips,False,NA
wadhwani institute for artificial intelligence,bronze,2019,neurips,False,NA
doc.ai,diamond,2019,icml,False,NA
facebook,diamond,2019,icml,True,meta
amazon.com,ruby,2019,icml,True,amazon
apple,sapphire,2019,icml,True,apple
google,sapphire,2019,icml,True,alphabet
graphcore,sapphire,2019,icml,False,NA
"beijing baidu netcom science technology co., ltd",platinum,2019,icml,False,NA
deepmind,platinum,2019,icml,True,alphabet
petuum inc.,platinum,2019,icml,False,NA
bosch center for artificial intelligence,gold,2019,icml,False,NA
ibm research ai,gold,2019,icml,False,NA
j.p. morgan,gold,2019,icml,False,NA
microsoft,gold,2019,icml,True,microsoft
naver | line,gold,2019,icml,False,NA
netflix,gold,2019,icml,False,NA
salesforce,gold,2019,icml,False,NA
samsung electronics,gold,2019,icml,True,samsung
the voleon group,gold,2019,icml,False,NA
uber,gold,2019,icml,False,NA
alegion,silver,2019,icml,False,NA
ant financial,silver,2019,icml,False,NA
bloomberg,silver,2019,icml,False,NA
capital one,silver,2019,icml,False,NA
criteo ai lab,silver,2019,icml,False,NA
disney research,silver,2019,icml,False,NA
hudson river trading,silver,2019,icml,False,NA
imc trading,silver,2019,icml,False,NA
"insilico medicine, inc",silver,2019,icml,False,NA
"inspur electronic information industry co.,ltd",silver,2019,icml,False,NA
jane street,silver,2019,icml,False,NA
lyft,silver,2019,icml,False,NA
montréal international,silver,2019,icml,False,NA
national security agency,silver,2019,icml,False,NA
obsidian security,silver,2019,icml,False,NA
ouster,silver,2019,icml,False,NA
point72 / cubist systematic strategies,silver,2019,icml,False,NA
preferred networks,silver,2019,icml,False,NA
quantumblack,silver,2019,icml,False,NA
sberbank ai,silver,2019,icml,False,NA
scale ai,silver,2019,icml,False,NA
sigopt,silver,2019,icml,True,intel
sk hynix,silver,2019,icml,False,NA
sk telecom,silver,2019,icml,False,NA
tencent ai lab,silver,2019,icml,True,tencent
tesla,silver,2019,icml,True,tesla
the d. e. shaw group,silver,2019,icml,False,NA
visual computing center at kaust,silver,2019,icml,False,NA
wayfair,silver,2019,icml,False,NA
wolfram,silver,2019,icml,False,NA
yandex,silver,2019,icml,False,NA
yokogawa electric corporation,silver,2019,icml,False,NA
credit suisse,bronze,2019,icml,False,NA
"cylance, inc.",bronze,2019,icml,False,NA
"expedia, inc.",bronze,2019,icml,False,NA
intel ai,bronze,2019,icml,True,intel
squarepoint,bronze,2019,icml,False,NA
vintech technology development joint stock company,bronze,2019,icml,False,NA
xtx markets limited,bronze,2019,icml,False,NA
zillow group,bronze,2019,icml,False,NA
frontiers,publisher,2019,icml,False,NA
mit press,publisher,2019,icml,False,NA
/static/images/deepmind-ethicsandsociety-standard-logo-171003-r01.png,sponsors,2019,facct,True,alphabet
/static/images/google_logo_color_836x272px.png,sponsors,2019,facct,True,alphabet
/static/images/microsoft-logo_rgb_c-gray-cropped.png,sponsors,2019,facct,True,microsoft
/static/images/spotify_logo_rgb_green.png,sponsors,2019,facct,False,NA
/static/images/brand logos twitter bird blue.png,sponsors,2019,facct,False,NA
alibaba group,platinum,2020,neurips,True,alibaba
amazon,platinum,2020,neurips,True,amazon
apple,platinum,2020,neurips,True,apple
bloomberg engineering,platinum,2020,neurips,False,NA
bytedance,platinum,2020,neurips,True,bytedance
capital one,platinum,2020,neurips,False,NA
cruise,platinum,2020,neurips,False,NA
deepmind,platinum,2020,neurips,True,alphabet
facebook ai,platinum,2020,neurips,True,meta
google research,platinum,2020,neurips,True,alphabet
g-research,platinum,2020,neurips,False,NA
"huawei technologies co., ltd.",platinum,2020,neurips,True,huawei
iarai,platinum,2020,neurips,False,NA
ibm corporation,platinum,2020,neurips,False,NA
mayo clinic center for individualized medicine,platinum,2020,neurips,False,NA
microsoft,platinum,2020,neurips,True,microsoft
"openai, l.p",platinum,2020,neurips,True,openai
pdt partners,platinum,2020,neurips,False,NA
qualcomm,platinum,2020,neurips,False,NA
sony corporation,platinum,2020,neurips,False,NA
tenstorrent inc.,platinum,2020,neurips,False,NA
tower research capital,platinum,2020,neurips,False,NA
two sigma,platinum,2020,neurips,False,NA
u.s. bank national association,platinum,2020,neurips,False,NA
baidu,gold,2020,neurips,False,NA
capgemini,gold,2020,neurips,False,NA
citadel and citadel securities,gold,2020,neurips,False,NA
deci,gold,2020,neurips,False,NA
electric power research institute,gold,2020,neurips,False,NA
ensodata,gold,2020,neurips,False,NA
graphcore,gold,2020,neurips,False,NA
helm.ai,gold,2020,neurips,False,NA
hudson river trading,gold,2020,neurips,False,NA
kuaishou,gold,2020,neurips,False,NA
mathworks,gold,2020,neurips,False,NA
mda,gold,2020,neurips,False,NA
naver,gold,2020,neurips,False,NA
netflix research,gold,2020,neurips,False,NA
neural magic,gold,2020,neurips,False,NA
point72,gold,2020,neurips,False,NA
quantumblack,gold,2020,neurips,False,NA
research in germany,gold,2020,neurips,False,NA
salesforce,gold,2020,neurips,False,NA
sber ai,gold,2020,neurips,False,NA
scale ai,gold,2020,neurips,False,NA
spotify,gold,2020,neurips,False,NA
squarepoint capital llp,gold,2020,neurips,False,NA
the d. e. shaw group,gold,2020,neurips,False,NA
vinai research,gold,2020,neurips,False,NA
waymo,gold,2020,neurips,True,alphabet
yokogawa electric corporation,gold,2020,neurips,False,NA
zalando,gold,2020,neurips,False,NA
ant group,silver,2020,neurips,True,alibaba
arm,silver,2020,neurips,False,NA
benevolentai,silver,2020,neurips,False,NA
causalens,silver,2020,neurips,False,NA
deep genomics,silver,2020,neurips,False,NA
element ai,silver,2020,neurips,False,NA
maadaa.ai,silver,2020,neurips,False,NA
nvidia,silver,2020,neurips,True,nvidia
ralph,silver,2020,neurips,False,NA
secondmind,silver,2020,neurips,False,NA
tencent ai lab,silver,2020,neurips,True,tencent
uber,silver,2020,neurips,False,NA
wadhwani institute for artificial intelligence,silver,2020,neurips,False,NA
xtx markets,silver,2020,neurips,False,NA
zeta alpha,silver,2020,neurips,False,NA
cambridge university press,book,2020,neurips,False,NA
now publishers,book,2020,neurips,False,NA
the mit press,book,2020,neurips,False,NA
amazon,platinum,2020,icml,True,amazon
apple,platinum,2020,icml,True,apple
deepmind,platinum,2020,icml,True,alphabet
facebook,platinum,2020,icml,True,meta
google research,platinum,2020,icml,True,alphabet
"huawei technologies co., ltd",platinum,2020,icml,True,huawei
ibm,platinum,2020,icml,False,NA
two sigma,platinum,2020,icml,False,NA
